version,price,model
1,10850,iPhone
2,12950,iPhone 3GS
3,13999,iPhone 4
4,7999,iPhone 4S
5,4399,iPhone 5
6,8499,iPhone 5c
7,4999,iPhone 5s
8,9099,iPhone 6
9,23999,iPhone 6 Plus
10,9989,iPhone 6s
11,14299,iPhone 6s Plus
12,13999,iPhone 7
13,26999,iPhone 7 Plus
14,22999,iPhone 8
15,29999,iPhone 8 Plus
16,64799,iPhone X
17,63999,iPhone XS
18,69599,iPhone XS Max
19,32999,iPhone XR
20,39999,iPhone 11
21,79899,iPhone 11 Pro
22,87900,iPhone 11 Pro Max
23,53999,iPhone 12
24,49999,iPhone 12 Mini
25,99900,iPhone 12 Pro
26,113999,iPhone 12 Pro Max
27,71999,iPhone 13
28,64999,iPhone 13 Mini
29,115999,iPhone 13 Pro
30,125999,iPhone 13 Pro Max
